commentedBy,commentMessage,upvotes,commentDate
Mofakharul Islam,"Having a bit of trouble, perhaps my understanding isn't quite there. While I attempted to import Belgian Traffic Signs datasets into my tensorflow workspace getting the following error message;




...: ROOT_PATH = ""C:\Users\Mofakharul\Documents\DeepLearningLiteratures""

train_data_directory = os.path.join(ROOT_PATH, ""TrafficSigns/Training"")

test_data_directory = os.path.join(ROOT_PATH, ""TrafficSigns/Testing"")




images, labels = load_data(train_data_directory)

  File ""<ipython-input-15-44b277681a5a>"", line 17

    ROOT_PATH = ""C:\Users\Mofakharul\Documents\DeepLearningLiteratures""

               ^

SyntaxError: (unicode error) 'unicodeescape' codec can't decode bytes in position 2-3: truncated \UXXXXXXXX escape







I simply copied the following code (your code) with replacing ""/your/root/path"" with my one ""C:\Users\Mofakharul\Documents\DeepLearningLiteratures"";




def load_data(data_directory):

    directories = [d for d in os.listdir(data_directory) 

                   if os.path.isdir(os.path.join(data_directory, d))]

    labels = []

    images = []

    for d in directories:

        label_directory = os.path.join(data_directory, d)

        file_names = [os.path.join(label_directory, f) 

                      for f in os.listdir(label_directory) 

                      if f.endswith("".ppm"")]

        for f in file_names:

            images.append(skimage.data.imread(f))

            labels.append(int(d))

    return images, labels




ROOT_PATH = ""/your/root/path""

train_data_directory = os.path.join(ROOT_PATH, ""TrafficSigns/Training"")

test_data_directory = os.path.join(ROOT_PATH, ""TrafficSigns/Testing"")




images, labels = load_data(train_data_directory)




I am unable to figure out what went wrong. Your help and assistance in this regards would be much appreciated. 





",3,19/02/2018 03:55 PM
zimborodger,"Hi.

Could you please share the source code of your tutorial on github",1,21/02/2018 05:02 PM
Eirik Lid,"Hi,

i get a wrong shape from 

images28 = rgb2gray(images28)

The shape is:

(4575, 28, 3)




Before running rgb2gray() the shape is (4575, 28, 28, 3)

Is there a way to fix this?",2,28/02/2018 07:05 PM
Radu Paul Mondescu,"The skimage.data,imread - cannot find in any package - I guess we need scikit-image ? but what version ? ",2,02/03/2018 12:03 AM
Radu Paul Mondescu,you are transforming labels between np.array and list - I think is a bit confusing,2,02/03/2018 01:12 AM
Anu V Vivin,"For asp.net check below url will help

http://tensorflowapi.blogspot.in/2018/03/integrating-tensor-flow-api-into-aspnet.html",1,16/03/2018 11:09 AM
M NF,I am new to this field . will this classifier works for other object(any word or character) ?    ,2,20/03/2018 10:05 PM
Reinaldo Cevallos,"I am new to neural networks and trying to conceptualize this code. There is no hidden layer here right? 

The network just flows from the flattened images, to the output of the ""tf.contrib.layers.fully_connected"" output? I guess we use the argmax function to convert that output back to labels but that's not a layer.",4,28/03/2018 10:15 PM
milicakovjanic89,"Hi.

Great tutorial! But can I use this code on my own dataset of images that are jpg. format? Do I need to convert them into .ppm format?  ",1,03/04/2018 03:41 AM
Ariyo Apakama,insightful,3,03/04/2018 08:57 PM
