commentedBy,commentMessage,upvotes,commentDate
Daniel Deidda,"In the amazon example, I get the following error:

 Error: Columns `reviewer`, `date`, `review` must be length 1 or 20, not 0, 0, 0 




this happens when I call  scrape_write_table(url, 'amazon') ",9,05/03/2018 12:40 AM
Vasim Shaikh,"Phew!! Interesting stuff




Something that I may be spending weeks on!",1,05/03/2018 05:20 PM
notsoslimshaddy91,Good tutorial. I want to scrape Glassdoor Reviews of IBM. How can I do that?,3,06/03/2018 10:41 PM
Hayden MacDonald,"Thank you for this excellently thorough example. This is definitely a technique I hope to employ in the future, so having this article as a resource is excellent.",3,06/03/2018 11:37 PM
David Stroud,"Fantastic job!! I was able to reproduce and this is an excellent learning tool.  Thanks again. 

With the aid of the 'class names change' feedback, I was able to get through the code and reproduce. ",2,07/03/2018 02:16 AM
Anastasia Reusova,"Hey, thanks for the tutorial, should it be something like 

url <- read_html('https://www.trustpilot.com/review/amazon.com') 

though?

url <- 'https://www.trustpilot.com/review/amazon.com' 

passed to throws an error 

Error in UseMethod(""xml_find_all"") :  no applicable method for 'xml_find_all' applied to an object of class ""character""

Or could there be any other reason?",0,07/03/2018 12:32 PM
Robert Chestnutt,Great article! Thanks so much. ,2,07/03/2018 11:53 PM
banjadesuraj,This is just awesome. Thank you guys for sharing your wisdom. Really appreciate it,2,16/03/2018 10:30 AM
sijo,"how to deal with missing values while scraping?


",2,03/04/2018 03:52 PM
G M,"A great way to get the CSS class selectors (tags in the above example) would be to use a selector gadget - it's an easier way for beginners to quickly identify the tags they need. More info can be found here: http://selectorgadget.com 

Not sponsored by anyone, just figure I'd share my adventure with web scraping here. ",3,29/04/2018 06:48 AM
Rachel Zhang,"Could anyone please have a look at what's going on here? 

>length_reviews = length(get_reviews(html))

Error in UseMethod(""xml_find_all"") : 

  no applicable method for 'xml_find_all' applied to an object of class ""function""




Btw: Fantastic tutorial! ",1,06/06/2018 07:36 PM
Ammar Alkhaldi,"Hi, i'm trying to scrape a paged table with rvest and i was successful to scrape the first page.

 the next page triggered by javascript:__doPostBack. 

is there is any workaround this issue ?

the site: http://qiyas.sa/ar/Statistics-Data/Schools/Pages/DetResults.aspx",1,08/07/2018 03:44 PM
Paola Prieto,"Hi, thank you for this exercise. I worked with the copy from your github, and found out that the ratings were not being captured. Then I checked the page and they change the ""count"" for ""star-rating""

So, in the code I replaced in line 74

This:

    pattern = 'count-'%R% capture(DIGIT) 

For this:

    pattern = 'star-rating-'%R% capture(DIGIT) 

And the ratings worked again.




Thank you!!",3,18/07/2018 07:20 AM
