commentedBy,commentMessage,upvotes,commentDate
santhi b,how to run big data in my windows with spark?,1,17/02/2018 04:12 PM
Hermawan Wiwit,Thanks. it's clear explanation,2,19/02/2018 09:34 PM
Michael Zarate,"Do you have troubleshooting for when pyspark doesn't load in the terminal for ""Error while instantiating 'org.apach.spark.sql.hive.HiveSessionStateBuilder'"".

Also prebuilt packages from Spark don't require the step build/mvn -DskipTest clean package.",2,21/02/2018 01:58 AM
viktor,Spark MLlib is not an advantage of Python. Do you mean scikit-learn?,1,06/03/2018 03:53 PM
sanjay soni,Thanks a lot.,3,20/03/2018 05:46 PM
viewnaveen,"Thanks for this great article. Assume that you are receiving JSON 10 GB of multiple files for every 10 minutes from a Kafka cluster,  I want to know in a production environment, what processing steps like data cleansing, data acquisition, data enrichment, joining etc need to be done using python and what processing steps should be done with Spark? Also, if you can explain why some steps work well with python than spark or vice versa with a real time example, it helps a lot.",1,03/04/2018 08:32 PM
mymobilunity,Thanks a lot for article. Could you please share more such info? Also here you can find a little more info about Spark ,1,07/05/2018 08:07 PM
Ignatius Sulistyo,"Thank you, Danke, Terima Kasih",1,08/05/2018 06:56 PM
Joel Praveen,Thanks a lot very much for the high quality and results-oriented help. I won’t think twice to endorse your blog post to anybody who wants and needs support about this area.,1,18/05/2018 10:50 AM
Jeremy Loscheider,"@Karlijn, the link for broadcast variable tutorial is broken.",1,08/06/2018 02:33 AM
Saurabh Dasgupta,very good!,1,11/07/2018 04:48 PM
satish kumar,Nice Article! I am new to Spark and this document was pretty useful for me in understanding the RDDs and Data Frames. Thanks!,1,08/08/2018 02:04 PM
Krishnakumar Viswanathan,One another good compilation  of topics ,1,06/06/2019 04:11 PM
Sonika Savthe,Very informative article..,1,14/06/2019 11:50 AM
gyanguide D,Great Post. Its too useful.,1,14/06/2019 05:06 PM
Nidhi shedge,Excellent post..Thank you!,1,18/06/2019 10:48 AM
