commentedBy,commentMessage,upvotes,commentDate
Manohar Sri,I knew this article was coming. Thanks for sharing :),8,28/02/2018 06:30 PM
Marco Piccioli,"Hi Alan, I love this tutorial. Thank you so much. I have tried to set it all up and everything seems fine except that when I send a message, nothing reaches my local machine. Should the Facebook app be live in order to have it working? I realized that Facebook requires a privacy policy to make the app live. Is it required for the tutorial's app?  The authorization process succedeed and I can see the request in the log of both Ngrok and Flask but it seems nothing is forwarded back to the server from Facebook when I send messages. ",6,02/03/2018 05:14 AM
Marco Piccioli,"Hi  @prakyath, @alan,  thanks for your suggestion. I definitely believe it is a FB setup problem. I tried to open a shell on a remote machine and run something like ",2,03/03/2018 03:57 AM
Marco Piccioli,"Hello @Alan, it is working now! I have forgotten to subscribe the webhook to the page events that's why nothing was forwarded to the Flask app. Now it is working great and I will try to implement what I have learnt in your course. Thanks again for sharing. M ",2,04/03/2018 06:14 AM
,"Hi Alan, thank you for the tutorial. I tried to search for the course that you mentioned in the tutorial,  Building Chatbots in Python DataCamp course, with no luck. Is it already running?",1,07/03/2018 03:25 PM
Loren Price,"Hi, ",4,08/03/2018 05:07 AM
Hendrik Kalb,"Hi Alan, very nice and straight forward tutorial. Thank you!",1,10/03/2018 10:25 PM
Bogdan Lev,"Hi, how to make this code works on a VPS (like Digital Ocean) with a custom domain name? ",1,13/03/2018 07:14 PM
Jeevan Reddy Rachepalli,"Hi Alan,",6,16/03/2018 08:08 AM
Alessio Fanciulli Oxilia,gonna try this on Telegram instead!,1,22/03/2018 10:34 AM
zammel khalifa,HI I want to connect this bot with a CRM  (php) ? any help ?,1,29/03/2018 03:18 PM
guillaumelbr13,"thanks for this !This is what i have been looking for , ",2,10/05/2018 04:42 PM
Tom Coffey,Two Questions: ,1,19/07/2018 11:32 AM
Juan Sandino,Thanks Alan for this amazing article! I just finished the Data Camp course and I am really excited and looking forward to build my first bot. I wanted to ask you if there is any resource you may know in order to put the bot in a website since the project I am working on requires more of that than a Facebook bot. ,3,13/08/2018 09:53 PM
Victor Guyomard,"Hi, if I add  ",1,16/09/2018 07:20 PM
Aldushyna Anna," Hi all,I have on the last step a problem with connection it seems: ",1,23/09/2018 04:10 PM
chan qifeng,"Hi all , ",3,07/10/2018 01:48 PM
Martin Alan,"Hi, Im getting only ""incorrect"" on ngrok page - seems to me that if in VErify Webhook was not sucessful - any tips what can I digest to found the root?",1,10/04/2019 08:38 PM
HUI-YING LU,"Can we deploy our bot on some public server like Heroku, pythonanywere?",1,14/04/2019 04:36 AM
F. Xavier Sánchez Salomó,"Hello, ",1,01/05/2019 09:30 PM
Fahim Ishrak,"Hi there, i noticed that the chatbot only works for my account or from my machine only. Is there any way to make it public so that others can interact with my chatbot aswell?",0,23/05/2019 04:08 AM
alto tech,"when i was tryinh to run the call back url on the set up webhooks an error occurs like the url couldnot be validated ,call verification failed with the following errors ",1,07/06/2019 04:49 PM
