commentedBy,commentMessage,upvotes,commentDate
Kapil Vishwakarma,"Could someone help me understand how below line of code works?
scales <- list(x=list(relation=""free""), y=list(relation=""free""))",3,19/04/2018 08:40 PM
Luis Rodríguez,¡Awesome!,2,21/04/2018 10:26 AM
Saptarshi Sen,Excellent content! Well explained for someone  new o the topic.,1,12/05/2018 10:22 PM
Dennis Ng," ""In a logistic regression model, increasing X by one unit changes the logit by β0.  ""  It should be β1 I think.",3,25/05/2018 11:03 AM
Lusajo Gilbert Mwakyusa,The article explains well about logistic regression.,1,01/06/2018 12:04 AM
Sai Charan Adurthi,"Hi,",2,22/06/2018 02:19 PM
H_ajar H,"  In a logistic regression model, increasing X by one unit changes the logit by( β0 =====>it is  β1), is not it?",1,02/09/2018 05:50 PM
Silvia Lomascolo,"I have a question about the  featurePlot. How may I know which line belongs to what gourp_ In my case, I have 3 groups and would like to know which line belongs to which group.",1,03/09/2018 08:13 PM
Tuan Vu,How should consider a likert 5 independent variable is continous or categorical or ordinal when doing logistic regression ,2,06/10/2018 11:36 AM
justus muimi,"hello, why is the year being handled as a numeric variable yet i expect to be categorical/factor. kindly clarify",2,11/01/2019 08:18 PM
Ala Qabaja,Shouldn't the logistic function be 1/(1 + eB0+B1X) rather than (eB0+B1X)/(1 + eB0+B1X)  ? ,1,16/03/2019 02:23 AM
Elena Ghezzo,"Hi, ",1,05/04/2019 01:27 AM
