commentedBy,commentMessage,upvotes,commentDate
Vikrant Sahu,Great article!!! Good to refer when you loose practice. ,7,19/02/2018 09:35 PM
sheethalgray,"It has been simply incredibly generous with you to      provide openly what exactly many individuals would’ve marketed for      an eBook to end up making some cash for their end,      primarily given that you could have tried it in the event you wanted.",1,28/02/2018 03:12 PM
Mayur Gilani,Hello. Is there anything wrong in this paragraph?,1,24/04/2018 03:05 AM
Mukunthan Doraiswamy,"Excellent Representation , easy to go through",2,13/08/2018 09:22 PM
Shivam Shukla,"Precisely written and explained with meaningful examples. Good material to revise the concepts.
Adding little more information about Queue and Linked List  implementation will definitely  improve the content  of this article.
",2,29/08/2018 02:52 AM
Ankita Sharma,how to implement b plus tree in python ,1,13/11/2018 11:01 PM
James Morrison,"Aren't these considered data ""types"" rather than data ""structures""? ",2,18/11/2018 03:58 PM
devy panwala,nice,1,08/01/2019 09:30 AM
Yahia Bouklikha,but how about classes and object ,1,14/04/2019 08:32 PM
Engr. Atif Shahab Qureshi,Great Tutorial. I learned about non primitive data types in this tutorial as i was already familiar with the primitive ones. ,1,16/04/2019 12:19 PM
Muhammad Bilal,nice article to learn basics !,1,21/04/2019 03:46 PM
Mark Loat,"Thanks for the article however, can you tell me how can I edit this ROS game cheat using python? I tried many programming languages but it seems to be not working in my case.",1,24/04/2019 01:08 PM
Oliver Johnson,"Big data is commonplace in the data science industry, a programming language without the capability to store and retrieve previously stored information would hardly be useful.  Know about   Brother printer in error state.",1,10/05/2019 03:04 PM
Anna John," Python Data Structures are used to store a collection of related data. There are four built-in data structures in Python - list, tuple, dictionary, and set  Chrome sync paused . Abstract Data Type and Data Structures, Primitive Data Structures, Non-Primitive Data Structures are some examples. This tutorial really helped me to improve my knowledge of python.
 ",1,31/05/2019 03:13 PM
