commentedBy,commentMessage,upvotes,commentDate
sumit8das,"There is a typo when "" cellObj "" is introduced. ",3,08/04/2018 03:31 AM
Igor Alessandro,Great! Thanks.,2,29/05/2018 11:58 PM
Vladimir Stozhkov,"Great article, Karlijn. Could you add command line code for Windows machines as well as for Linux-based ones? Especially, regarding working with virtual environments?
By the way, I guess it is okay to use a Conda environment instead of a standard Python virtual environment if Conda is installed on a machine, correct? I even think Conda envoronments surpass standard virtual environments. At least, when I install or update packages via Conda environment manager, it also updates other packages, so all the packages within the Conda environment are consistent. ",5,04/06/2018 03:38 AM
Thaung Han,Thanks alot! Its reallyx2  helpful for me!,1,28/06/2018 12:54 PM
Jakukyo Friel,"Hi, I'd like to translate this excellent tutorial to Chinese. Can you give me the permission to translate it? The translated text will be published at ai.jqr.com and related Chinese social network accounts. Thanks.",2,24/07/2018 08:46 AM
JAWED KHAN,Hi im  interested this course.,1,17/09/2018 08:15 PM
k kngines, There some minor mistakes. eg. the initial of 2d_array_dictionary  variable .But  it`s great totally.,1,01/10/2018 02:26 PM
allan cheung,"writer = pd.ExcelWriter('RSI.xlsx', engine='xlsxwriter', options={'encoding':'utf8'})",1,07/11/2018 09:21 AM
Shreyansh Raj Keshri,nice,1,08/11/2018 01:41 AM
Owain A.,"great article, very helpful to start working on Excel with python",1,13/11/2018 04:41 AM
Xinbin Yang,"nice, very helpful",1,28/11/2018 10:46 AM
Humberto Ramos,"i am so thanksgiving, i`m begginers to EDA and Data science and this i helped me so much ",1,20/12/2018 01:32 AM
Milan Goyal,i found your article very intresting. really nice post. keep posting this type of important post. lots of love from rajasthan,1,27/12/2018 03:18 PM
amit nayal,Hey! Can any one help me in updating my online excel using python,1,16/01/2019 03:04 PM
Iceberg Hern,"Hi,  I appreciate the contents of this Python tutorial as it is very useful to me. However, while going through the topics, I've been wanting to see a section on how to download a read-only Excel file from inside a URL. I'm keep on encountering the 'Forbidden' error even if I've already hardcoded my user ID and password inside my script.",1,21/01/2019 03:24 PM
Linda Graham,Great post on the Python Excel tutorial. You can use to load and write these spreadsheets to files with the help of Python. Can I print excel sheet on Python? How to resolve hp printer is in an error state please share your views.,1,30/01/2019 11:16 PM
Albert John,"Still turned off, press down power to release all remaining current in the Epson connect printer setup. Plug in all cables and USB. Reinstall printer cartridges. Turn power on.",1,01/02/2019 06:20 PM
rain Hdb, Make use of DataCamp’s Pandas Cheat Sheet when you’re considering loading files as Pandas DataFrames ,1,16/02/2019 03:38 PM
tahid uzun,Hi ,1,16/02/2019 04:06 PM
Suchi Abram,"If you do not have a backup or that does not resolve the problem, take your computer to an mac internal server error 500 Apple Store or Authorized Apple Service Center for further assistance.",1,16/03/2019 10:10 PM
Sarah Alfred,"Thank you so much Karlijin, this is indeed a great start for any Python beginner. Extremely helpful. Very thorough and meticulously laid out.  Really appreciate your effort in bringing Python excel tutorial to a wider audience.",1,18/03/2019 12:02 PM
Roy Pherae," I believe you have used Microsoft Excel on some occasion. It is very powerful when it comes to working with spreadsheets, tables, charts, etc. But what does Python have to do with that?  epson error code 0x10",1,29/03/2019 05:22 PM
USA Techno Solution,Thanks for sharing about Python Excel Tutorial: The Definitive Guide. This formation is really informative for us....,1,01/04/2019 04:18 PM
David Johnson,Thanks about sharing this tutorial. If you are still facing issues related to your Kaspersky antivirus on your system or electronic device. You need to dial Kaspersky tech support number and you will connect with our experienced member. Kaspersky tech support members are available here to provide you a relevant solution related to your problem. ,1,04/04/2019 01:03 AM
albert singh,"  you need to have pip and setuptools installed. If you have Python 2 >=2.7.9 or Python 3 >=3.4 installed, you won’t need to worry because then you’ll normally already have it ready.  ",1,05/04/2019 04:59 PM
Rajesh Shinde,"Please find the below code,",1,08/04/2019 09:11 PM
Brad Hart,     800   customer service numbers is a one-stop solution for all your technical issue   related to any product. We have a team of highly skilled experts that work   24x7    ,1,10/04/2019 11:12 AM
Brad Hart,     We will   secure all of your systems with the help of the installation of Avast   antivirus. Get In Touch with our avast antivirus support number for help.    ,1,10/04/2019 11:13 AM
Brad Hart,"     Get Your   Pc Secure with avg antivirus and get protect your data from the virus, call   avg support phone number for more info about installation.    ",1,10/04/2019 11:14 AM
Brad Hart,     Antivirus   plays a vital role in managing the safety of data. Any installation error   gets our technician from Bitdefender support phone number    ,1,10/04/2019 11:14 AM
Brad Hart,"     Kaspersky Customer Support Number   satisfy their security needs and also to help them prevent their apparatus   from all sorts of viruses, frauds, online threats.      ",1,10/04/2019 11:14 AM
Brad Hart,"     The   stability and dedication with our expert tackle the problem have our service.   At phone, our McAfee Customer Service Number is to get options   for your problems.      ",1,10/04/2019 11:15 AM
Brad Hart,     We've   got a team of highly skilled And talented engineers that eliminate all   happening issues in Norton Customer Service Number       ,1,10/04/2019 11:15 AM
Brad Hart,     Apple is   one of the most profitable businesses in the world. It's a manufacturer of   mobile technology. For Any Kind Of Assitance Call Apple Support Phone Number.      ,1,10/04/2019 11:15 AM
Brad Hart,     Some of   the common mistakes which are generally happened in this program are password   reset snags and password retrieval issues which can effectively be managed by   our seasoned iTunes support phone number.      ,1,10/04/2019 11:15 AM
Mark Steven,Nice one...,1,15/04/2019 03:08 PM
pekson scott,Thank u so much for share post,1,15/04/2019 05:42 PM
Mywifiext Net,mywifiext ,1,16/04/2019 10:29 AM
123 HP Printer Setup,This post is extremely easy to peruse and acknowledge without forgetting any subtle elements. Incredible work! You may check our website also 123.hp.com/envy 5536,1,17/04/2019 02:29 PM
august walker,"I’m very glad to have such an informative blog by you as with its help I could easily resolved my HP printer offline, setup related issue. If someone still has any kind of query regarding any of their issue, they may visit allitservices.us where you will get more additional information about the printer problems.",1,18/04/2019 12:12 AM
