commentedBy,commentMessage,upvotes,commentDate
Matthew Papes,I just came across this and wanted to download the Jupyter notebook but it is not there. Can you provide a link to it?,1,17/02/2018 10:07 PM
Hicham Kerkri,Is there any data source other than quandl where I can import the adjusted closing price?,1,20/02/2018 11:37 PM
Tanmoy Sen,How do I find the total number of  peaks in a graph?,3,21/02/2018 11:02 PM
Weng Hoe Lee,why are we using  100*signals['signal']  instead of  100*signals['positions']? ,1,12/03/2018 07:55 PM
slacoai,"I have excess of 8 years experience in programming and a couple of years of experience in financial engineering, but I wished that many write the way you do. People like you make art out of quite  complicated, and sometimes boring topics. Well done!",10,15/03/2018 09:18 PM
Sam Presnal,Appears that  'Adj Close' has been renamed to 'AdjClose',1,18/03/2018 09:30 PM
Nick Wong,Nice tutorial!,1,22/03/2018 01:46 PM
Dan Snyder,cum_monthly_return should be ,3,29/03/2018 10:40 PM
Victor Montanez,any great book to buy regarding this tutorial? ,2,07/04/2018 11:48 AM
Mohamed Ayman,The Yahoo API doesn't work?,1,10/04/2018 09:04 PM
Phil Smithens,"Great Tutorial, thank you!",1,11/04/2018 04:59 PM
Inna Gorsky,Why to use datetime.datetime and not datetime.date  in this case when only date is  in use  ?,1,24/04/2018 07:37 AM
Pedro Torres,Nice intro,1,27/04/2018 03:34 AM
jorgeog96,"First, congratulations for this amazing article which is really helpful! It´s been written in a fantastic structure! I have a general question...maybe u can answer me...Is there any python library specific for technical analys? I mean a library to implement different indicators with the data that I obtain. For instance..create a RSI or a Stochastic indicator in a fast manner. Do u know any library like that which is legit and reliable? Thanks a lot!",4,06/05/2018 01:38 AM
Muhammad Bilal,"Hi, Please solve this issue i am unable to find the reason of error

 ",4,17/05/2018 01:29 PM
Krisan Haria,The data reader no longer works to access stock prices from yahoo or google. How can we use this? ,2,27/05/2018 09:33 PM
Neila MOUSSI,nice,1,29/05/2018 08:48 AM
Mehdi El Hamzaoui,"Going short: ""or you sell your stock, expecting that you can buy it back at a lower price and realize a profit"". Isn't going short selling a stock you don't own and buying it back at a lower price in order to make a profit?",3,03/06/2018 01:05 PM
William Lee,I need help. With this code ↓,1,23/06/2018 05:01 AM
Lizi Zhu,"The ""loc"" line doesn't work in my case and it keeps showing ''level mismatch ""error and "" label is not the index'"" erro. I think there's something fishy going on with the indexing of aapl dataframe, but I cannot place it. ",1,09/07/2018 12:02 AM
seo a4,I am going to share with you one very simple strategy based on a strong and ,1,30/07/2018 11:58 AM
Ambrish Raman,Hi ,1,13/08/2018 09:23 PM
Greg Pascaran,"Karlijn, great tutorial, but I had a question: I am following this tutorial using my own environment, and up until the Big DataFrame section, it was all working fine. I am encountering an error when executing this line of code: ().pivot('Date', 'Ticker', 'Adj Close')  ",1,14/08/2018 09:16 AM
Tom Detzel,"Hi folks,  I'm having a similar problem to Greg -- this line of code: ",2,30/08/2018 07:23 AM
chois good,"""Note that, in the code chunk below, you’ll see that you consider days, so your 1 is adjusted to 365 days (which is equal to 1 year).""  => I think that we have to use 250 days instead of 364 for CAGR (business days)",1,06/09/2018 06:47 AM
awqattyb,Small typo in the Time Series section:,1,19/09/2018 10:38 PM
Elias Ben,!,1,25/09/2018 04:28 AM
Nattapone Buagaw,"note the difference between 3/7/2005 and the next point, 3/31/2005, and 4/5/2005 and 4/19/2005.",1,08/10/2018 05:16 AM
Ashley adrias,Thanks for this tut!,1,15/10/2018 10:42 AM
Luca Giacomelli,"BIG MISTAKE: in the Quantopian section you skip 300 minutes and consider history windows of 300 days.
The comment says explicitly that you skip the first 300 days, but the function 'handle_data' is called every minute.",2,02/12/2018 05:19 PM
Omar Musaev,your i-python shell does not work ,1,26/12/2018 07:58 AM
Falco Peregrinus,You said:,1,27/12/2018 02:56 PM
XF Chapa,"In the section Importing Financial Data Into Python it reads ""you can also make use of libraries such as Quandl, for example, to get data from Google Finance:"" while the sample code is for Apple data in Quandl.",1,25/01/2019 04:24 AM
Francesco Tabani,"Hi, I have downloaded the Jupyter notebook, but I cannot open it (tried on 2 different boxes), it seem there's something wrong (it seems it's not a JSON file):",1,01/02/2019 09:58 PM
Shreshth Saxena,what's the significance of sqrt(252) in sharpe ratio ?,1,18/02/2019 08:10 PM
Egor Epishin,"Great tutorial, very helpful!",1,31/03/2019 04:15 AM
Hitendra Vasudeo,"Hello,  can you backrest a system for me,  on Indian,  ",1,21/04/2019 06:41 PM
Hitendra Vasudeo,"Hello,  I will provide nifty data and buy sell logic I will provide can contact 919820219664",1,21/04/2019 06:46 PM
Martin Qualls,"What a cool programming language! Python is one of my favourite language. It's hard and old, but it's very multifaceted. You can use it in diiferent spheres. Fantastic!",1,27/04/2019 10:56 PM
Oliver Johnson,The instability of a stock is an estimation of the adjustment in difference in the profits of a stock over a particular timeframe. Usually to contrast the instability of a stock and another stock to discover which may have less hazard or to a market record to inspect the stock's unpredictability in the general market.,1,02/05/2019 09:58 AM
Bruce Hank,  Excellent and nice post. This is such a great resource that you are providing and you give it away for free. I love seeing a blog that understands the value. I'm glad to have found this post as its such an interesting one! I have also something very interesting for you. Visit our blog post-  How to Fix mac internal server error 500? Call +1-888-209-3034 Toll-Free ,1,10/05/2019 04:06 PM
archer smith,"  Excellent and nice post. This is such a great resource that you are providing and you give it away for free.  if  you are phase any problem  you can visit our site <a href="" https://www.epsonprintersupport247.com/steps-to-fix-error-code-0x10-of-epson-printer/ "">epson error code 0x10</a>",1,11/05/2019 10:50 AM
dhekitha kutty,     Your   good knowledge and kindness in playing with all the pieces were very useful.   I don’t know what I would have done if I had not encountered such a step like   this.    ,1,20/05/2019 01:02 PM
Erica Turner,Thank you for posting such a great blog! I found your website perfect for my needs. It contains wonderful and helpful posts. Keep up the good work. Thank you for this wonderful Blog!  canon printer offline ,1,22/05/2019 10:42 AM
siva sundari,This is   very good content you share on this blog. it's very informative and provide   me future related information.    ,1,23/05/2019 03:35 PM
kate winfield, ,1,28/05/2019 12:15 PM
Helen Shiu,Thank you for this incredibly informative article! It makes a compelling case for learning Python.,1,29/05/2019 07:43 PM
Airlines Phone Numbers," If you want to get an amazing travel experience at a low cost, dial Allegiant Airlines Phone Number and book your tickets instantly at a high discount. The experts at Allegiant Airlines Phone Number provides the best offers and deals according to customer’s requirement. To know more, visit here:  https://airlinesphonenumbers.blogspot.com/2019/05/get-instant-help-at-allegiant-airlines.html ",1,05/06/2019 01:55 PM
