commentedBy,commentMessage,upvotes,commentDate
Mofakharul Islam,"Having a bit of trouble, perhaps my understanding isn't quite there. While I attempted to import Belgian Traffic Signs datasets into my tensorflow workspace getting the following error message;",3,19/02/2018 03:55 PM
zimborodger,Hi.,1,21/02/2018 05:02 PM
Eirik Lid,"Hi,",2,28/02/2018 07:05 PM
Radu Paul Mondescu,"The skimage.data,imread - cannot find in any package - I guess we need scikit-image ? but what version ? ",2,02/03/2018 12:03 AM
Radu Paul Mondescu,you are transforming labels between np.array and list - I think is a bit confusing,2,02/03/2018 01:12 AM
Anu V Vivin,For asp.net check below url will help,1,16/03/2018 11:09 AM
M NF,I am new to this field . will this classifier works for other object(any word or character) ?    ,2,20/03/2018 10:05 PM
Reinaldo Cevallos,I am new to neural networks and trying to conceptualize this code. There is no hidden layer here right? ,4,28/03/2018 10:15 PM
milicakovjanic89,Hi.,1,03/04/2018 03:41 AM
Ariyo Apakama,insightful,3,03/04/2018 08:57 PM
brostami,"I am new to tensorflow. I tried the code but I got the error ""undefined name skimage"". I think I should install that package? am I right? But I could not find how to download the package! would you please provide some hint? Also, I read some parts of the notebook is linked at the start of the tutorial. Thank you. ",1,13/04/2018 12:10 AM
himansu odedra,"Hi, was wondering if you could help me with the following. Just trying to load the data into python (i'm using anaconda) and everything goes well however I have noticed that my images list only contains 15 files. This is really odd my code is somewhat identical to yours as well. Please help thank you ",1,24/04/2018 01:50 AM
Bruno Gonçalves,"Hello, in the last part when I try to run the test set , it returns the following error:  ",1,25/04/2018 01:03 AM
Jae Duk Seo,Great tutorial!,1,10/05/2018 03:48 AM
Björn Lindqvist,"One line of one code sample should be changed from print(""Loss: "", loss) to print(""Loss: "", loss_value)",2,11/05/2018 06:18 PM
long xie,非常棒的入门教程，谢谢楼主分享,1,16/05/2018 09:26 AM
Marias Mo,"Hi Karlijn,",4,31/05/2018 02:48 AM
S Rao,Thought it was a free tutorial.,1,31/05/2018 11:09 AM
Nickolai Hazen,"I don't quite understand how np.array() is supposed to function. I can use the LoadData function fine, but when I run the next code snippet in IDLE, I get this error:",3,01/06/2018 08:53 PM
Sourabh Kulkarni,"Hi Karlijn,",2,03/06/2018 07:30 PM
Soumyadip Majumder," logits = tf.contrib.layers.fully_connected(images_flat, 62, tf.nn.relu) ",1,04/06/2018 05:43 PM
